distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
0.60000,-2.00000,6.00000,62.10000,4.34547,0.75000
0.60000,-1.50000,5.70000,65.70000,5.18095,0.71000
0.60000,-1.00000,5.70000,71.90000,4.46375,0.79000
0.60000,-0.50000,5.50000,76.40000,3.73095,0.77000
0.60000,0.00000,5.30000,81.00000,5.28915,0.73000
0.80000,-2.00000,6.20000,60.70000,5.77817,0.78000
0.80000,-1.50000,5.90000,64.10000,5.52374,0.75000
0.80000,-1.00000,5.80000,69.60000,5.05066,0.79000
0.80000,-0.50000,5.60000,74.00000,4.72063,0.78000
0.80000,0.00000,5.40000,78.40000,5.05415,0.75000
0.80000,0.50000,5.40000,84.20000,5.16536,0.77000
1.00000,-2.00000,6.30000,58.20000,6.14125,0.77000
1.00000,-1.50000,6.20000,64.00000,6.43834,0.83000
1.00000,-1.00000,5.80000,66.10000,5.33745,0.75000
1.00000,-0.50000,5.60000,70.60000,5.50451,0.74000
1.00000,0.00000,5.50000,76.00000,4.74924,0.76000
1.00000,0.50000,5.50000,81.90000,4.77733,0.80000
1.00000,1.00000,5.30000,86.00000,12.07152,0.75000
1.20000,-2.00000,6.50000,57.20000,6.58108,0.80000
1.20000,-1.50000,6.20000,60.40000,7.21150,0.78000
1.20000,-1.00000,6.00000,65.00000,6.09411,0.79000
1.20000,-0.50000,5.80000,69.40000,5.87487,0.79000
1.20000,0.00000,5.50000,72.40000,6.61457,0.73000
1.20000,0.50000,5.50000,78.90000,5.85690,0.78000
1.20000,1.00000,5.60000,85.30000,5.53833,0.84000
1.40000,-2.00000,6.60000,54.30000,7.67464,0.77000
1.40000,-1.50000,6.30000,57.50000,7.49305,0.75000
1.40000,-1.00000,6.00000,60.30000,7.57446,0.72000
1.40000,-0.50000,5.80000,65.30000,6.72271,0.74000
1.40000,0.00000,5.60000,69.80000,6.52819,0.73000
1.40000,0.50000,5.50000,75.50000,5.52230,0.76000
1.40000,1.00000,5.60000,82.60000,5.75265,0.83000
1.40000,1.50000,5.30000,85.60000,7.13608,0.74000
1.60000,-2.00000,6.80000,53.80000,8.25872,0.81000
1.60000,-1.50000,6.50000,56.90000,8.44970,0.79000
1.60000,-1.00000,6.20000,59.80000,7.58047,0.77000
1.60000,-0.50000,6.00000,64.70000,7.43328,0.79000
1.60000,0.00000,5.80000,69.10000,7.01325,0.79000
1.60000,0.50000,5.50000,71.30000,6.52818,0.72000
1.60000,1.00000,5.60000,79.70000,6.80355,0.81000
1.60000,1.50000,5.30000,82.20000,6.08210,0.73000
1.80000,-2.00000,7.00000,53.50000,10.00906,0.85000
1.80000,-1.50000,6.60000,52.20000,8.07666,0.72000
1.80000,-1.00000,6.50000,61.40000,9.64158,0.87000
1.80000,-0.50000,6.20000,64.20000,8.33400,0.83000
1.80000,0.00000,6.10000,69.90000,8.24451,0.88000
1.80000,0.50000,5.80000,72.60000,7.31438,0.82000
1.80000,1.00000,5.60000,76.50000,7.69199,0.79000
1.80000,1.50000,5.50000,81.50000,6.77154,0.79000
1.80000,2.00000,5.30000,84.90000,6.06656,0.74000
2.00000,-2.00000,7.20000,53.30000,11.15426,0.89000
2.00000,-1.50000,6.80000,53.30000,9.35878,0.79000
2.00000,-1.00000,6.50000,56.30000,9.35339,0.78000
2.00000,-0.50000,6.30000,61.90000,8.71531,0.83000
2.00000,0.00000,6.00000,64.20000,9.77386,0.78000
2.00000,0.50000,5.80000,68.60000,8.81493,0.78000
2.00000,1.00000,5.90000,77.10000,8.42336,0.88000
2.00000,1.50000,5.60000,79.60000,7.16258,0.81000
2.00000,2.00000,5.40000,83.00000,6.91362,0.77000
2.20000,-2.00000,7.30000,50.20000,10.50178,0.84000
2.20000,-1.50000,7.00000,53.70000,10.85437,0.85000
2.20000,-1.00000,6.70000,56.70000,10.61870,0.84000
2.20000,-0.50000,6.40000,59.20000,9.97091,0.81000
2.20000,0.00000,6.10000,60.90000,9.27209,0.76000
2.20000,0.50000,5.90000,66.10000,9.55056,0.78000
2.20000,1.00000,5.80000,72.50000,8.53197,0.82000
2.20000,1.50000,5.80000,79.10000,8.49834,0.87000
2.20000,2.00000,5.60000,82.60000,8.77537,0.82000
2.40000,-2.00000,7.50000,50.80000,12.41468,0.90000
2.40000,-1.50000,7.20000,54.10000,11.49368,0.90000
2.40000,-1.00000,6.90000,57.00000,11.89797,0.89000
2.40000,-0.50000,6.70000,61.80000,11.08064,0.92000
2.40000,0.00000,6.30000,61.80000,10.13501,0.82000
2.40000,0.50000,6.30000,70.00000,10.31951,0.93000
2.40000,1.00000,6.10000,73.80000,10.00292,0.91000
2.40000,1.50000,5.70000,74.20000,9.77731,0.80000
2.40000,2.00000,5.70000,80.90000,8.68894,0.85000
2.60000,-2.00000,7.70000,51.40000,13.74617,0.95000
2.60000,-1.50000,7.30000,50.40000,11.35431,0.84000
2.60000,-1.00000,7.00000,54.10000,11.95104,0.86000
2.60000,-0.50000,6.70000,56.70000,11.35898,0.84000
2.60000,0.00000,6.40000,58.40000,11.29792,0.79000
2.60000,0.50000,6.20000,64.20000,10.70550,0.83000
2.60000,1.00000,6.00000,68.50000,10.60195,0.83000
2.60000,1.50000,5.90000,74.30000,9.85981,0.86000
2.60000,2.00000,5.80000,79.30000,9.31377,0.86000
2.80000,-2.00000,7.90000,51.90000,15.63695,1.00000
2.80000,-1.50000,7.50000,52.00000,12.73159,0.92000
2.80000,-1.00000,7.20000,55.00000,13.83940,0.92000
2.80000,-0.50000,6.90000,57.70000,12.35813,0.90000
2.80000,0.00000,6.60000,59.90000,12.20470,0.87000
2.80000,0.50000,6.30000,61.40000,12.39318,0.82000
2.80000,1.00000,6.10000,66.40000,11.39862,0.83000
2.80000,1.50000,6.10000,74.30000,10.52826,0.91000
2.80000,2.00000,5.70000,73.80000,11.01040,0.80000
3.00000,-2.00000,8.10000,52.30000,17.42125,1.05000
3.00000,-1.50000,7.70000,52.90000,14.42286,0.98000
3.00000,-1.00000,7.30000,50.30000,12.07574,0.84000
3.00000,-0.50000,7.00000,54.50000,12.37104,0.86000
3.00000,0.00000,6.70000,56.30000,12.46940,0.83000
3.00000,0.50000,6.70000,66.90000,12.76735,0.99000
3.00000,1.00000,6.30000,67.10000,11.66335,0.89000
3.00000,1.50000,6.20000,72.80000,11.71538,0.92000
3.00000,2.00000,6.10000,77.70000,10.87930,0.93000
3.20000,-2.00000,8.20000,50.60000,16.11662,1.03000
3.20000,-1.50000,7.80000,50.10000,13.76774,0.94000
3.20000,-1.00000,7.50000,53.50000,14.01952,0.95000
3.20000,-0.50000,7.20000,56.20000,14.63290,0.94000
3.20000,0.00000,7.00000,61.30000,14.18566,0.98000
3.20000,0.50000,6.60000,60.30000,12.77974,0.87000
3.20000,1.00000,6.30000,60.00000,13.20925,0.79000
3.20000,1.50000,6.40000,72.90000,12.35071,0.97000
3.20000,2.00000,6.10000,74.80000,11.88221,0.91000
3.40000,-2.00000,8.40000,51.40000,18.46617,1.09000
3.40000,-1.50000,8.00000,51.70000,15.97065,1.02000
3.40000,-1.00000,7.70000,54.60000,15.03554,1.01000
3.40000,-0.50000,7.30000,50.80000,13.47972,0.85000
3.40000,0.00000,7.00000,55.20000,13.47573,0.88000
3.40000,0.50000,6.90000,64.00000,14.72556,1.00000
3.40000,1.00000,6.50000,63.20000,14.04305,0.89000
3.40000,1.50000,6.20000,63.30000,14.06758,0.81000
3.40000,2.00000,6.30000,75.00000,13.44806,0.97000
3.60000,-2.00000,8.60000,52.10000,20.97468,1.14000
3.60000,-1.50000,8.20000,52.70000,17.54125,1.07000
3.60000,-1.00000,7.80000,52.40000,15.68340,0.99000
3.60000,-0.50000,7.50000,55.20000,16.58777,0.98000
3.60000,0.00000,7.20000,57.60000,15.80492,0.96000
3.60000,0.50000,6.90000,59.60000,14.54649,0.93000
3.60000,1.00000,6.60000,60.70000,14.53901,0.88000
3.60000,1.50000,6.50000,68.40000,13.72495,0.95000
3.60000,2.00000,6.30000,72.00000,14.14347,0.94000
3.80000,-2.00000,8.70000,50.70000,19.04487,1.12000
3.80000,-1.50000,8.30000,50.90000,18.08256,1.05000
3.80000,-1.00000,8.00000,53.80000,17.68135,1.06000
3.80000,-0.50000,7.60000,52.00000,15.05806,0.94000
3.80000,0.00000,7.30000,51.00000,14.67532,0.85000
3.80000,0.50000,7.00000,56.50000,14.99862,0.90000
3.80000,1.00000,6.80000,62.70000,14.91374,0.95000
3.80000,1.50000,6.50000,63.80000,14.93110,0.90000
3.80000,2.00000,6.40000,70.60000,14.53654,0.95000
4.00000,-2.00000,8.90000,51.50000,23.17308,1.18000
4.00000,-1.50000,8.50000,52.10000,18.83557,1.12000
4.00000,-1.00000,8.10000,51.80000,17.43418,1.03000
4.00000,-0.50000,7.80000,54.70000,17.34349,1.03000
