distance,radialVelocity,solutionVelocity,solutionAngle,robustness,tof
0.30000,-2.50000,6.75000,61.00000,5.23926,0.74000
0.30000,-2.00000,6.50000,65.50000,4.79215,0.74000
0.30000,-1.50000,6.25000,70.00000,4.10396,0.73000
0.30000,-1.00000,6.10000,75.00000,3.79525,0.74000
0.30000,-0.50000,5.95000,80.00000,3.27413,0.73000
0.30000,0.00000,5.90000,85.50000,3.08716,0.73000
0.80000,-2.50000,7.15000,56.00000,8.50206,0.75000
0.80000,-2.00000,6.85000,59.50000,8.07161,0.74000
0.80000,-1.50000,6.55000,63.50000,7.38893,0.73000
0.80000,-1.00000,6.30000,68.00000,6.69825,0.72000
0.80000,-0.50000,6.15000,73.00000,6.18001,0.74000
0.80000,0.00000,6.00000,78.00000,5.50523,0.73000
0.80000,0.50000,5.90000,83.00000,4.93684,0.73000
1.30000,-2.50000,7.60000,51.50000,12.39774,0.76000
1.30000,-2.00000,7.30000,55.50000,12.07720,0.78000
1.30000,-1.50000,6.95000,58.50000,11.58715,0.76000
1.30000,-1.00000,6.70000,63.00000,10.94892,0.77000
1.30000,-0.50000,6.50000,67.50000,10.38167,0.78000
1.30000,0.00000,6.35000,72.50000,9.63013,0.79000
1.30000,0.50000,6.25000,78.00000,8.66256,0.81000
1.30000,1.00000,6.05000,82.50000,7.69357,0.78000
1.30000,1.50000,5.90000,86.00000,7.65625,0.74000
1.80000,-2.50000,8.15000,50.00000,16.57201,0.85000
1.80000,-2.00000,7.75000,52.00000,16.06617,0.82000
1.80000,-1.50000,7.45000,56.00000,15.67891,0.83000
1.80000,-1.00000,7.20000,60.50000,15.06202,0.86000
1.80000,-0.50000,6.90000,64.00000,14.34134,0.84000
1.80000,0.00000,6.70000,68.50000,13.54996,0.85000
1.80000,0.50000,6.60000,74.00000,12.52393,0.88000
1.80000,1.00000,6.50000,79.00000,11.53449,0.88000
1.80000,1.50000,6.30000,83.00000,10.52829,0.85000
1.80000,2.00000,6.00000,86.00000,10.35324,0.78000
2.30000,-2.50000,8.70000,50.00000,21.08395,0.96000
2.30000,-2.00000,8.25000,50.50000,20.06406,0.89000
2.30000,-1.50000,7.85000,52.50000,19.62240,0.85000
2.30000,-1.00000,7.60000,57.50000,19.04389,0.90000
2.30000,-0.50000,7.40000,62.50000,18.34910,0.94000
2.30000,0.00000,7.05000,65.00000,17.59556,0.89000
2.30000,0.50000,6.90000,70.00000,16.54525,0.92000
2.30000,1.00000,6.90000,76.00000,15.46768,0.97000
2.30000,1.50000,6.65000,79.50000,14.26767,0.93000
2.30000,2.00000,6.60000,84.50000,13.07288,0.94000
2.30000,2.50000,6.20000,86.00000,13.29331,0.84000
2.80000,-2.50000,9.25000,50.00000,26.00992,1.07000
2.80000,-2.00000,8.75000,50.50000,24.21695,0.99000
2.80000,-1.50000,8.30000,51.00000,23.34138,0.92000
2.80000,-1.00000,8.00000,55.00000,22.94784,0.94000
2.80000,-0.50000,7.75000,59.50000,22.27706,0.97000
2.80000,0.00000,7.55000,64.00000,21.52367,0.99000
2.80000,0.50000,7.25000,67.00000,20.55721,0.97000
2.80000,1.00000,7.25000,73.00000,19.50984,1.03000
2.80000,1.50000,7.10000,77.50000,18.09890,1.03000
2.80000,2.00000,6.95000,81.50000,16.86238,1.01000
2.80000,2.50000,6.80000,85.50000,15.53887,0.99000
3.30000,-2.50000,9.75000,50.00000,30.72160,1.16000
3.30000,-2.00000,9.20000,50.00000,28.25275,1.06000
3.30000,-1.50000,8.75000,50.50000,27.14343,1.00000
3.30000,-1.00000,8.40000,53.00000,26.75441,0.98000
3.30000,-0.50000,8.15000,57.50000,26.27284,1.02000
3.30000,0.00000,7.85000,61.00000,25.32372,1.02000
3.30000,0.50000,7.70000,66.00000,24.35666,1.05000
3.30000,1.00000,7.50000,70.00000,23.17982,1.06000
3.30000,1.50000,7.50000,75.50000,22.05227,1.10000
3.30000,2.00000,7.35000,79.50000,20.62135,1.10000
3.30000,2.50000,7.15000,83.00000,19.19770,1.07000
3.80000,-2.50000,10.20000,50.00000,35.11010,1.23000
3.80000,-2.00000,9.70000,50.00000,32.96578,1.15000
3.80000,-1.50000,9.20000,50.50000,31.15897,1.08000
3.80000,-1.00000,8.75000,50.00000,30.36146,0.99000
3.80000,-0.50000,8.45000,54.50000,29.87104,1.03000
3.80000,0.00000,8.30000,60.50000,29.21794,1.10000
3.80000,0.50000,8.05000,64.00000,28.25994,1.11000
3.80000,1.00000,7.80000,67.50000,27.06140,1.10000
3.80000,1.50000,7.85000,73.50000,25.92667,1.17000
3.80000,2.00000,7.65000,77.00000,24.48613,1.15000
3.80000,2.50000,7.45000,80.50000,22.91801,1.13000
4.30000,-2.50000,10.65000,50.00000,39.64697,1.31000
4.30000,-2.00000,10.10000,50.00000,36.90515,1.22000
4.30000,-1.50000,9.65000,51.00000,35.37242,1.17000
4.30000,-1.00000,9.20000,51.00000,34.18750,1.10000
4.30000,-0.50000,8.80000,52.00000,33.60793,1.05000
4.30000,0.00000,8.50000,56.00000,32.95689,1.07000
4.30000,0.50000,8.40000,62.50000,32.02405,1.16000
4.30000,1.00000,8.25000,67.00000,30.90817,1.19000
4.30000,1.50000,8.00000,70.00000,29.68224,1.17000
4.30000,2.00000,7.95000,75.00000,28.16744,1.20000
4.30000,2.50000,7.70000,78.00000,26.59795,1.17000
4.80000,-2.50000,11.10000,50.00000,44.32079,1.39000
4.80000,-2.00000,10.55000,50.00000,41.43962,1.30000
4.80000,-1.50000,10.05000,50.00000,39.34473,1.22000
4.80000,-1.00000,9.60000,51.00000,37.95075,1.17000
4.80000,-0.50000,9.15000,50.50000,37.01901,1.08000
4.80000,0.00000,8.85000,54.50000,36.56804,1.11000
4.80000,0.50000,8.70000,60.50000,35.73074,1.19000
4.80000,1.00000,8.50000,64.50000,34.65821,1.21000
4.80000,1.50000,8.15000,66.50000,33.50842,1.16000
4.80000,2.00000,8.30000,73.50000,31.97899,1.27000
4.80000,2.50000,8.00000,76.00000,30.38202,1.22000
5.30000,-2.50000,11.50000,50.00000,48.53539,1.46000
5.30000,-2.00000,10.95000,50.00000,45.58971,1.37000
5.30000,-1.50000,10.45000,50.00000,43.39917,1.29000
5.30000,-1.00000,9.95000,50.00000,41.44722,1.21000
5.30000,-0.50000,9.55000,51.00000,40.67448,1.17000
5.30000,0.00000,9.20000,53.50000,40.08210,1.16000
5.30000,0.50000,9.05000,59.50000,39.40555,1.24000
5.30000,1.00000,8.85000,63.50000,38.33946,1.27000
5.30000,1.50000,8.55000,66.00000,37.09154,1.24000
5.30000,2.00000,8.55000,71.50000,35.62026,1.30000
5.30000,2.50000,8.20000,73.50000,34.07016,1.25000
5.80000,-2.50000,11.90000,50.00000,52.80150,1.52000
5.80000,-2.00000,11.35000,50.00000,49.82609,1.44000
5.80000,-1.50000,10.80000,50.00000,47.04096,1.36000
5.80000,-1.00000,10.35000,50.00000,45.47901,1.28000
5.80000,-0.50000,9.90000,50.50000,44.13333,1.22000
5.80000,0.00000,9.50000,51.00000,43.52693,1.16000
5.80000,0.50000,9.25000,56.00000,42.95509,1.22000
5.80000,1.00000,9.15000,62.00000,42.00386,1.30000
5.80000,1.50000,8.85000,64.50000,40.76330,1.28000
5.80000,2.00000,8.85000,70.00000,39.34786,1.35000
5.80000,2.50000,8.50000,72.00000,37.71314,1.30000
6.30000,-2.50000,12.30000,50.00000,57.16970,1.59000
6.30000,-2.00000,11.70000,50.00000,53.58468,1.50000
6.30000,-1.50000,11.20000,50.00000,51.24533,1.42000
6.30000,-1.00000,10.70000,50.00000,49.14260,1.35000
6.30000,-0.50000,10.25000,50.00000,47.67890,1.27000
6.30000,0.00000,9.85000,50.50000,47.02795,1.22000
6.30000,0.50000,9.55000,54.50000,46.41317,1.25000
6.30000,1.00000,9.30000,58.50000,45.53260,1.28000
6.30000,1.50000,9.30000,65.00000,44.35672,1.38000
6.30000,2.00000,9.30000,70.00000,43.18013,1.44000
6.30000,2.50000,8.95000,72.00000,41.27844,1.39000
